Contract_ID,Project_ID,Project_Name,Ownership,Developer,Address,ZIP,Parcel_ID,Council_District,Unit_Type,Housing_Tenure,Development_Status,Total_Units,Affordable_Units,Total_ADA_Units,PSH_Units,MFI_20,MFI_30,MFI_40,MFI_50,MFI_60,MFI_65,MFI_70,MFI_80,MFI_100,MFI_120,Affordability_Start_Date,Affordability_Expiration_Date,Affordability_Period,FIL_Status,CAL_FIL,Date_FIL_Recorded,HDA,Private_Activity_Bonds,Affordability_Unlocked,SMART,Dev_Agreement,Density_Bonus,FIL,LIHTC,GO_Bonds_2006,GO_Bonds_2013,GO_Bonds_2018,GO_Bonds_2022,CDBG,CIP_Funds,HOME,HTF,Project_Connect,City_Subsidy,Longitude,Latitude
12,3239,1002 Wheeless Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1002 Wheeless Street,78702,0205071002,1,Duplex,Rental,Project Completed,2,2,0.0,0,0,0,0,0,2,0,0,0,0,0,01-29-2007,01-29-2027,20,,,,RHDA,No,No,Yes,,,No,,0,0,0,,0,0,60000,0,,0,-97.72775965,30.26797186
12,3240,809 San Marcos Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,809 San Marcos Street,78702,0206051017,1,Duplex,Rental,Project Completed,1,1,0.0,0,0,0,0,0,1,0,0,0,0,0,05-05-2005,05-05-2025,20,,,,RHDA,No,No,Yes,,,No,,0,0,0,,0,0,60000,0,,0,-97.73115103,30.26721606
12,3241,2320 Santa Rita Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,2320 Santa Rita Street,78702,0202100817,3,Single Family,Rental,Project Completed,1,1,0.0,0,0,0,0,0,1,0,0,0,0,0,05-05-2005,05-05-2025,20,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,60000,0,,0,-97.71726547,30.25706987
12,3242,907 Spence Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,907 Spence Street,78702,0203040309,3,Duplex,Rental,Project Completed,1,1,0.0,0,0,0,0,0,1,0,0,0,0,0,05-05-2005,05-05-2025,20,,,,RHDA,No,No,Yes,,,No,,0,0,0,,0,0,60000,0,,0,-97.7358045754509,30.2586854019468
12,3243,1009 E 10th Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1009 E 10th Street,78702,0206051103,1,Duplex,Rental,Project Completed,1,1,0.0,0,0,0,0,0,1,0,0,0,0,0,05-05-2005,05-05-2025,20,,,,RHDA,No,No,Yes,,,No,,0,0,0,,0,0,60000,0,,0,-97.7305781128068,30.2684283282867
13,3244,Garden Terrace Phase I,Garden Terrace Housing Corporation,Foundation Communities Inc.,1015 W William Cannon Drive,78745,0418140412,2,Multifamily,Rental,Project Completed,85,85,11.0,0,0,0,0,85,0,0,0,0,0,0,05-21-2003,05-21-2033,30,,,,RHDA,No,No,Yes,,,No,,0,0,0,,0,0,500000,0,,0,-97.79342653,30.19864089
14,3245,Southwest Trails Apartments,Central Texas/SWA Mutual Housing Corporation,Foundation Communities Inc.,8405 Old Bee Caves Road,78735,0402440211,8,Multifamily,Rental,Affordability Period Expired,160,160,19.0,0,0,0,0,81,79,0,0,0,0,0,12-21-2000,12-21-2020,20,,,,RHDA,No,No,Yes,Private Activity Bond,,No,4% LIHTC,0,0,0,,0,0,500000,500000,,500000,-97.88724303,30.25122411
15,3246,Ivy Condos,ESCT Austin Housing III Inc.,Easter Seals of Central Texas,3204 Manchaca Road,78704,0403101301,5,Multifamily,Rental,Project Completed,8,8,9.0,8,0,0,0,8,0,0,0,0,0,0,02-15-2013,02-15-2112,99,,,,RHDA,No,No,No,,,No,,494740,0,0,,0,0,0,0,,494740,-97.78266876,30.24027574
17,3248,702 Plumpton Drive,Green Doors,Community Partnerships for the Homeless,702 Plumpton Drive,78745,0420130415,2,Single Family,Rental,Affordability Period Expired,3,3,1.0,0,0,0,0,3,0,0,0,0,0,0,04-30-2002,04-30-2022,20,,,,RHDA,No,No,No,,,No,,0,0,0,,23966.67,0,0,0,,0,-97.79082191,30.19504682
17,3249,1109 Spearson Lane,Green Doors,Community Partnerships for the Homeless,1109 Spearson Lane,78745,0418140612,2,Single Family,Rental,Affordability Period Expired,3,3,0.0,0,0,0,0,3,0,0,0,0,0,0,04-30-2002,04-30-2022,20,,,,RHDA,No,No,Yes,,,No,,0,0,0,,23966.67,0,0,0,,0,-97.79420218,30.20138457
17,3250,5406 Village Trail,Green Doors,Community Partnerships for the Homeless,5406 Village Trail,78744,0319010317,2,Single Family,Rental,Affordability Period Expired,3,3,0.0,0,0,0,0,3,0,0,0,0,0,0,04-30-2002,04-30-2022,20,,,,RHDA,No,No,No,,,No,,0,0,0,,23966.66,0,0,0,,0,-97.746201,30.194411
18,3251,2505 Village Trail Circle,Green Doors,Community Partnerships for the Homeless,2505 Village Trail Circle,78744,0319010317,2,Single Family,Rental,Project Completed,7,7,2.0,0,0,7,0,0,0,0,0,0,0,0,08-31-2006,08-31-2026,20,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,67505,0,,0,-97.74598478,30.19478667
18,3252,2407 S 4th Street,Green Doors,Community Partnerships for the Homeless,2407 S 4th Street,78704,0402030111,3,Single Family,Rental,Project Completed,3,3,0.0,0,0,3,0,0,0,0,0,0,0,0,08-31-2006,08-31-2026,20,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,35000,0,,0,-97.76324,30.24262
18,3253,7605 Elderberry Drive,Green Doors,Community Partnerships for the Homeless,7605 Elderberry Drive,78745,0422120730,2,Single Family,Rental,Project Completed,4,4,0.0,0,0,4,0,0,0,0,0,0,0,0,08-31-2006,08-31-2026,20,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,4190,0,,0,-97.78944399,30.18569319
19,3254,2014 Covered Wagon Pass,Green Doors,Community Partnerships for the Homeless,2014 Covered Wagon Pass,78744,0421020610,2,Single Family,Rental,Project Completed,3,3,0.0,0,0,0,0,3,0,0,0,0,0,0,05-02-2007,05-02-2027,20,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,0,50000,,50000,-97.75870203,30.19322232
19,3255,5611 Teri Road,Green Doors,Community Partnerships for the Homeless,5611 Teri Road,78744,0322060719,2,Single Family,Rental,Project Completed,3,3,0.0,0,0,0,0,3,0,0,0,0,0,0,05-02-2007,05-02-2027,20,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,0,50000,,50000,-97.73381984,30.19275255
20,3256,904 Neal Street,Green Doors,Community Partnerships for the Homeless,904 Neal Street,78702,0206121619,1,Duplex,Rental,Project Completed,2,2,2.0,0,0,0,0,2,0,0,0,0,0,0,01-31-2008,01-31-2048,40,,,,RHDA,No,No,No,Ground Lease,,No,,0,0,0,,0,0,0,125000,,125000,-97.71005882,30.26846974
20,3257,908 Neal Street,Green Doors,Community Partnerships for the Homeless,908 Neal Street,78702,0206121618,1,Duplex,Rental,Project Completed,2,2,0.0,0,0,0,0,2,0,0,0,0,0,0,01-31-2008,01-31-2048,40,,,,RHDA,No,No,No,Ground Lease,,No,,0,0,0,,0,0,0,125000,,125000,-97.71023674,30.26860702
20,3258,912 Neal Street,Green Doors,Community Partnerships for the Homeless,912 Neal Street,78702,0206121617,1,Single Family,Rental,Project Completed,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,01-31-2008,01-31-2048,40,,,,RHDA,No,No,No,Ground Lease,,No,,0,0,0,,0,0,0,125000,,125000,-97.71035687,30.26871633
20,3259,916 Neal Street,Green Doors,Community Partnerships for the Homeless,916 Neal Street,78702,0206121616,1,Single Family,Rental,Project Completed,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,01-31-2008,01-31-2048,40,,,,RHDA,No,No,No,Ground Lease,,No,,0,0,0,,0,0,0,125000,,125000,-97.7104858,30.26885049
21,3260,Pecan Springs Commons,Green Doors,Community Partnerships for the Homeless,5800 Sweeney Circle,78723,0220211432,1,Multifamily,Rental,Project Completed,46,46,6.0,0,0,11,0,35,0,0,0,0,0,0,12-29-2009,12-29-2108,99,,,,RHDA,No,No,Yes,,,No,,2000000,0,0,,0,0,0,0,,2000000,-97.67995127,30.30492714
22,3261,Pecan Springs Commons,Green Doors,Community Partnerships for the Homeless,5807 Sweeney Circle,78723,0220211436,1,FourPlex,Rental,Project Completed,4,4,0.0,0,0,0,0,4,0,0,0,0,0,0,02-18-2009,02-18-2108,99,,,,RHDA,No,No,Yes,,,No,,0,0,0,,0,0,254421,0,,0,-97.679026690365,30.3051500320123
22,3262,Pecan Springs Commons,Green Doors,Community Partnerships for the Homeless,5809 Sweeney Circle,78723,0220211437,1,FourPlex,Rental,Project Completed,4,4,0.0,0,0,0,0,4,0,0,0,0,0,0,02-18-2009,02-18-2108,99,,,,RHDA,No,No,Yes,,,No,,0,0,0,,0,0,254421,0,,0,-97.67908,30.30536
23,3263,Pecan Springs Commons,Green Doors,Community Partnerships for the Homeless,5802 Sweeney Circle,78723,0220211431,1,FourPlex,Rental,Project Completed,4,4,0.0,0,0,0,0,4,0,0,0,0,0,0,02-18-2009,02-18-2108,99,,,,RHDA,No,No,Yes,,,No,,19789.5,0,0,,0,0,0,0,,19789.5,-97.67995095,30.30511141
23,3264,Pecan Springs Commons,Green Doors,Community Partnerships for the Homeless,5804 Sweeney Circle,78723,0220211430,1,FourPlex,Rental,Project Completed,4,4,0.0,0,0,0,0,4,0,0,0,0,0,0,02-18-2009,02-18-2108,99,,,,RHDA,No,No,Yes,,,No,,19789.5,0,0,,0,0,0,0,,19789.5,-97.67984,30.30529
23,3265,Pecan Springs Commons,Green Doors,Community Partnerships for the Homeless,5805 Sweeney Circle,78723,0220211435,1,FourPlex,Rental,Project Completed,4,4,0.0,0,0,0,0,4,0,0,0,0,0,0,02-18-2009,02-18-2108,99,,,,RHDA,No,No,Yes,,,No,,19789.5,0,0,,0,0,0,0,,19789.5,-97.679021,30.304908
23,3266,Pecan Springs Commons,Green Doors,Community Partnerships for the Homeless,5811 Sweeney Circle,78723,0220211438,1,FourPlex,Rental,Project Completed,4,4,0.0,0,0,0,0,4,0,0,0,0,0,0,02-18-2009,02-18-2108,99,,,,RHDA,No,No,Yes,,,No,,19789.5,0,0,,0,0,0,0,,19789.5,-97.678962,30.305561
24,3267,Treaty Oaks,Green Doors,Green Doors,3700 Manchaca Road,78704,0404110148,5,Multifamily,Rental,Project Completed,47,47,7.0,0,0,0,0,47,0,0,0,0,0,0,02-25-2009,02-25-2108,99,,,,RHDA,No,No,Yes,,,No,,1350000,0,0,,0,0,0,0,,1350000,-97.78439421,30.23658891
25,3268,Pecan Springs Commons,Green Doors,Green Doors,5803 Sweeney Circle,78723,0220211434,1,FourPlex,Rental,Project Completed,4,4,3.0,8,0,0,0,4,0,0,0,0,0,0,03-28-2012,03-28-2111,99,,,,RHDA,No,No,Yes,,,No,,223140,0,0,,0,0,0,0,,223140,-97.679215,30.304737
25,3269,Pecan Springs Commons,Green Doors,Green Doors,2907 Sweeney Lane,78723,0220211439,1,FourPlex,Rental,Project Completed,4,4,0.0,0,0,0,0,4,0,0,0,0,0,0,03-28-2012,03-28-2111,99,,,,RHDA,No,No,Yes,,,No,,223140,0,0,,0,0,0,0,,223140,-97.67886233,30.30573796
26,3270,Pecan Springs Commons,Green Doors,Green Doors,5801 Sweeney Circle,78723,0220211433,1,FourPlex,Rental,Project Completed,4,4,3.0,4,0,0,0,4,0,0,0,0,0,0,03-28-2012,03-28-2111,99,,,,RHDA,No,No,Yes,,,No,,193720,0,0,,0,0,0,0,,193720,-97.679494,30.30476
27,3271,The Super Co-op,The College Houses,The College Houses,1905 Nueces Street,78705,0212011613,9,Multifamily,Rental,Project Completed,50,50,0.0,0,0,0,0,50,0,0,0,0,0,0,11-03-2009,11-03-2039,30,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,0,837500,,837500,-97.74383608,30.28301798
28,3272,Franklin Gardens,Chestnut Senior Housing,Chestnut Neighborhood Revitalization Corporation,3522 E Martin Luther King Jr Boulevard,78723,0213160236,1,Multifamily,Rental,Project Completed,22,22,0.0,0,0,0,0,22,0,0,0,0,0,0,09-29-2009,09-29-2059,50,,,,RHDA,No,No,No,Ground Lease,,No,,1000000,0,0,,0,0,0,0,,1000000,-97.6972033990871,30.2841327389135
29,3273,Fort Branch Landing,Fort Branch Landing LP,Fort Branch Landing LP,5841 Techni Center Drive,78721,0211260202,1,Multifamily,Rental,Affordability Period Expired,250,250,30.0,0,0,0,0,0,250,0,0,0,0,0,12-13-2000,12-13-2020,20,,,,RHDA,No,No,No,,,No,4% LIHTC,0,0,0,,0,0,500000,0,,0,-97.671414,30.279039
30,3274,2412 Bryan Street,Blackshear Neighborhood Development Corporation,Blackshear Neighborhood Development Corporation,2412 Bryan Street,78702,0206100256,1,Single Family,Rental,Project Completed,1,1,0.0,0,0,0,0,0,1,0,0,0,0,0,09-15-2009,09-15-2108,99,,,,RHDA,No,No,Yes,,,No,,16666.67,0,0,,0,0,78750,0,,16666.67,-97.71634938,30.26709461
30,3275,1116 Harvard Street,Blackshear Neighborhood Development Corporation,Blackshear Neighborhood Development Corporation,1116 Harvard Street,78702,0206100257,1,Single Family,Rental,Project Completed,1,1,0.0,0,0,0,0,0,1,0,0,0,0,0,09-15-2009,09-15-2108,99,,,,RHDA,No,No,Yes,,,No,,16666.67,0,0,,0,0,78750,0,,16666.67,-97.71623872,30.26723972
30,3276,2503 E 9th Steet,Blackshear Neighborhood Development Corporation,Blackshear Neighborhood Development Corporation,2503 E 9th Steet,78702,0205101402,1,Single Family,Rental,Project Completed,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,09-15-2009,09-15-2108,99,,,,RHDA,No,No,Yes,,,No,,16666.67,0,0,,0,0,78750,0,,16666.67,-97.71430575,30.26480387
30,3277,1905 E 9th Street,Blackshear Neighborhood Development Corporation,Blackshear Neighborhood Development Corporation,1905 E 9th Street,78702,0205081404,1,Single Family,Rental,Project Completed,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,09-15-2009,09-15-2108,99,,,,RHDA,No,No,Yes,,,No,,16666.66,0,0,,0,0,78750,0,,16666.66,-97.72100129,30.26391813
30,3278,1705 Rosewood Avenue,Blackshear Neighborhood Development Corporation,Blackshear Neighborhood Development Corporation,1705 Rosewood Avenue,78702,0207080109,1,Duplex,Rental,Project Completed,2,2,0.0,0,0,1,0,1,0,0,0,0,0,0,09-15-2009,09-15-2108,99,,,,RHDA,No,No,Yes,,,No,,33333.33,0,0,,0,0,157500,0,,33333.33,-97.72061,30.26922
31,3279,2102 Chicon Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2102 Chicon Street,78722,0211090705,1,Single Family,Rental,Affordability Period Expired,1,1,0.0,0,0,0,0,0,1,0,0,0,0,0,01-01-2003,01-01-2023,20,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,36666.67,0,,0,-97.721947,30.282141
31,3280,1700 Martin Luther King Jr Boulevard,Blackland Community Development Corporation,Blackland Community Development Corporation,1700 Martin Luther King Jr Boulevard,78722,0211091610,1,Duplex,Rental,Affordability Period Expired,2,2,0.0,0,0,0,0,0,2,0,0,0,0,0,01-01-2003,01-01-2023,20,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,73333.33,0,,0,-97.723113,30.27991322
31,3281,1804 Martin Luther King Jr Boulevard,Blackland Community Development Corporation,Blackland Community Development Corporation,1804 Martin Luther King Jr Boulevard,78722,0211091706,1,Single Family,Rental,Affordability Period Expired,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,01-01-2003,01-01-2023,20,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,36666.67,0,,0,-97.72184558,30.28002492
31,3282,2113 Salina Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2113 Salina Street,78722,0211090712,1,Single Family,Rental,Affordability Period Expired,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,01-01-2003,01-01-2023,20,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,36666.67,0,,0,-97.72262411,30.28253519
31,3283,1803 E 22nd Steet,Blackland Community Development Corporation,Blackland Community Development Corporation,1803 E 22nd Steet,78722,0211090712,1,Duplex,Rental,Affordability Period Expired,2,2,0.0,0,0,0,0,1,0,0,0,1,0,0,01-01-2003,01-01-2023,20,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,73333.34,0,,0,-97.72241774,30.2825633
31,3284,2111 Salina Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2111 Salina Street,78722,0211090711,1,Single Family,Rental,Affordability Period Expired,1,1,0.0,0,0,0,0,0,0,0,0,1,0,0,01-01-2003,01-01-2023,20,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,36666.67,0,,0,-97.72259173,30.28239544
31,3285,2107 Salina Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2107 Salina Street,78722,0211090708,1,Single Family,Rental,Affordability Period Expired,1,1,0.0,0,0,0,0,0,0,0,0,1,0,0,01-01-2003,01-01-2023,20,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,36666.67,0,,0,-97.72255917,30.28208674
32,3286,2008 Chicon Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2008 Chicon Street,78722,0211091209,1,Duplex,Rental,Affordability Period Expired,2,2,2.0,0,0,0,0,0,2,0,0,0,0,0,04-11-2006,04-11-2016,10,,,,RHDA,No,No,No,,,No,,0,0,0,,58872,0,2000,0,,0,-97.72185672,30.28137007
32,3287,2012 Chicon Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2012 Chicon Street,78722,0211091208,1,Duplex,Rental,Affordability Period Expired,2,2,0.0,0,0,0,0,0,2,0,0,0,0,0,04-11-2006,04-11-2016,10,,,,RHDA,No,No,No,,,No,,0,0,0,,58872,0,2000,0,,0,-97.7219,30.28157
32,3288,2201 Salina Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2201 Salina Street,78722,0211090207,1,Single Family,Rental,Affordability Period Expired,1,1,0.0,0,0,0,0,0,1,0,0,0,0,0,04-11-2006,04-11-2016,10,,,,RHDA,No,No,No,,,No,,0,0,0,,29436,0,1000,0,,0,-97.7226581,30.28281933
33,3289,2009 Salina Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2009 Salina Street,78722,0211091207,1,Multifamily,Rental,Affordability Period Expired,6,6,2.0,0,0,0,0,0,6,0,0,0,0,0,09-01-2009,09-01-2019,10,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,197142.85,0,,0,-97.72228345,30.28139533
33,3290,2110 Salina Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2110 Salina Street,78722,0211090605,1,Single Family,Rental,Affordability Period Expired,1,1,0.0,0,0,0,0,0,1,0,0,0,0,0,09-01-2009,09-01-2019,10,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,32857.15,0,,0,-97.72303482,30.28236494
34,3291,1803 E 20th Street,Blackland Community Development Corporation,Blackland Community Development Corporation,1803 E 20th Street,78722,0211091702,1,Multifamily,Rental,Project Completed,8,8,1.0,0,0,0,0,8,0,0,0,0,0,0,04-29-2011,04-29-2026,15,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,491919,0,,0,-97.7219761,30.28050064
35,3292,2106 Chestnut Avenue,Blackland Community Development Corporation,Blackland Community Development Corporation,2106 Chestnut Avenue,78722,0212100507,1,Single Family,Rental,Project Completed,1,1,2.0,0,0,0,0,1,0,0,0,0,0,0,12-15-2013,12-15-2028,15,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,139035,62500,,62500,-97.71806,30.28301
36,3293,Austin Children's Shelter,Austin Children's Shelter,Austin Children's Shelter,4800 Manor Road,78723,0217180709,9,Multifamily,Rental,Project Completed,28,28,0.0,0,0,0,0,28,0,0,0,0,0,0,06-26-2008,06-26-2107,99,,,,RHDA,No,No,No,,,No,,1000000,0,0,,0,0,0,0,,1000000,-97.68906793,30.29563891
37,3294,Austin Travis County MHMR,Austin Travis County Integral Care,Austin Travis County MHMR Center,6222 N Lamar Boulevard,78757,0229080206,7,Multifamily,Rental,Project Completed,37,37,0.0,0,0,0,0,37,0,0,0,0,0,0,01-31-2009,01-31-2108,99,,,,RHDA,No,No,No,,,No,,2300000,0,0,,0,0,0,0,,2300000,-97.72350971,30.33122925
38,3295,Austin Travis County MHMR,Austin Travis County Integral Care,Austin Travis County MHMR Center,403 E 15th Street,78721,0209050111,9,Multifamily,Rental,Project Completed,24,24,0.0,0,0,21,0,3,0,0,0,0,0,0,03-10-2010,03-10-2030,20,,,,RHDA,No,No,No,,,No,,1013075,0,0,,0,739100,0,0,,1752175,-97.73574557,30.27559883
39,3296,Carol's House,Accessible Housing Austin!,Accessible Housing Austin!,1805 Heatherglen Lane,78758,0254130484,7,Single Family,Rental,Project Completed,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,06-26-2009,06-26-2108,99,,,,RHDA,No,No,No,,,No,,100000,0,0,,0,0,40810,0,,100000,-97.70164239,30.39517141
40,3297,Palms at North Lamar,TMG - TX Austin I L.P.,TMG - TX Austin I,8600 N Lamar Boulevard,78753,0238150805,4,Multifamily,Rental,Project Completed,476,215,27.0,0,0,22,0,193,0,0,0,0,0,0,06-10-2010,06-10-2109,99,,,,RHDA,No,No,No,,,No,9% LIHTC,3000000,0,0,,0,0,0,0,,3000000,-97.70433045,30.35465331
41,3298,Legacy Apartments,Mary Lee Community,Mary Lee Foundation,1340 Lamar Square Drive,78704,0102040602,9,Multifamily,Rental,Project Completed,40,40,6.0,0,0,0,0,36,0,0,0,4,0,0,08-19-2013,08-19-2112,99,,,,RHDA,No,No,Yes,,,No,,0,0,0,,0,0,675000,0,,0,-97.76404,30.253554
42,3299,Guadalupe Court Apartments,NMF VI,Austin Travis County Integral Care,6607 Guadalupe Street,78752,0229110501,4,Multifamily,Rental,Affordability Period Expired,15,15,2.0,0,0,0,0,15,0,0,0,0,0,0,05-18-2006,05-18-2016,10,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,180000,0,,0,-97.71769367,30.33253912
43,3300,Benjamin Todd Apartments,NMF VII,Austin Travis County Integral Care,1507 W 39th 1/2 Street,78756,0221010152,10,Multifamily,Rental,Affordability Period Expired,21,21,2.0,0,0,0,0,21,0,0,0,0,0,0,09-26-2006,09-26-2016,10,,,,RHDA,No,No,No,,,No,,0,0,0,,250000,0,0,0,,0,-97.74706308,30.30929943
44,3301,City View at the Park,Parker Lane Senior Apartments L.P.,SGI Ventures Inc. & Strategic Housing Finance Corporation,2000 Woodward Street,78741,0311030303,3,Multifamily,Rental,Project Completed,70,68,9.0,0,0,7,0,0,61,0,0,0,0,0,12-20-2011,12-20-2031,20,,,,RHDA,No,No,Yes,,,No,9% LIHTC,0,0,0,,0,0,228000,71000,,71000,-97.74342133,30.21848555
45,3302,Lyons Gardens,Rosewood I Senior Housing Community Inc.,DMA Development Company LLC,2720 Lyons Road,78702,0206130801,3,Multifamily,Rental,Affordability Period Expired,54,53,7.0,0,0,0,0,53,0,0,0,0,0,0,04-29-2003,04-29-2023,20,,,,RHDA,No,No,No,,,No,,0,0,0,,0,0,666715,133285,,133285,-97.7091893422922,30.2645793410541
